,title,conference,year,authors,abstract,pdf_path,pdf_url,code_url,relevant,tran_flag
8,Region-Aware Pretraining for Open-Vocabulary Object Detection With Vision Transformers,CVPR,2023,"Dahun Kim, Anelia Angelova, Weicheng Kuo","We present Region-aware Open-vocabulary Vision Transformers (RO-ViT) -- a contrastive image-text pretraining recipe to bridge the gap between image-level pretraining and open-vocabulary object detection. At the pretraining phase, we propose to randomly crop and resize regions of positional embeddings instead of using the whole image positional embeddings. This better matches the use of positional embeddings at region-level in the detection finetuning phase. In addition, we replace the common softmax cross entropy loss in contrastive learning with focal loss to better learn the informative yet difficult examples. Finally, we leverage recent advances in novel object proposals to improve open-vocabulary detection finetuning. We evaluate our full model on the LVIS and COCO open-vocabulary detection benchmarks and zero-shot transfer. RO-ViT achieves a state-of-the-art 32.1 APr on LVIS, surpassing the best existing approach by +5.8 points in addition to competitive zero-shot transfer detection. Surprisingly, RO-ViT improves the image-level representation as well and achieves the state of the art on 9 out of 12 metrics on COCO and Flickr image-text retrieval benchmarks, outperforming competitive approaches with larger models.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Kim_Region-Aware_Pretraining_for_Open-Vocabulary_Object_Detection_With_Vision_Transformers_CVPR_2023_paper.pdf,,1,本文介绍了一种名为 RO-ViT 的区域感知开放词汇视觉变换器的对比图像-文本预训练方法，以弥合图像级预训练和开放词汇目标检测之间的差距。在预训练阶段，作者建议随机裁剪和调整位置嵌入的区域，而不是使用整个图像的位置嵌入，以更好地匹配检测微调阶段的区域级位置嵌入的使用。此外，作者用聚焦损失替换了对比学习中常见的 softmax 交叉熵损失，以更好地学习信息丰富但难以处理的示例。最后，作者利用最近的新对象提议技术来改进开放词汇检测微调。作者在 LVIS 和 COCO 开放词汇检测基准测试和零-shot 转移上评估了完整模型。RO-ViT 在 LVIS 上实现了 32.1 APr 的最新成
13,Detecting Everything in the Open World: Towards Universal Object Detection,CVPR,2023,"Zhenyu Wang, Yali Li, Xi Chen, Ser-Nam Lim, Antonio Torralba, Hengshuang Zhao, Shengjin Wang","In this paper, we formally address universal object detection, which aims to detect every scene and predict every category. The dependence on human annotations, the limited visual information, and the novel categories in the open world severely restrict the universality of traditional detectors. We propose UniDetector, a universal object detector that has the ability to recognize enormous categories in the open world. The critical points for the universality of UniDetector are: 1) it leverages images of multiple sources and heterogeneous label spaces for training through the alignment of image and text spaces, which guarantees sufficient information for universal representations. 2) it generalizes to the open world easily while keeping the balance between seen and unseen classes, thanks to abundant information from both vision and language modalities. 3) it further promotes the generalization ability to novel categories through our proposed decoupling training manner and probability calibration. These contributions allow UniDetector to detect over 7k categories, the largest measurable category size so far, with only about 500 classes participating in training. Our UniDetector behaves the strong zero-shot generalization ability on large-vocabulary datasets like LVIS, ImageNetBoxes, and VisualGenome - it surpasses the traditional supervised baselines by more than 4% on average without seeing any corresponding images. On 13 public detection datasets with various scenes, UniDetector also achieves state-of-the-art performance with only a 3% amount of training data.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Wang_Detecting_Everything_in_the_Open_World_Towards_Universal_Object_Detection_CVPR_2023_paper.pdf,,1,本文正式探讨了通用物体检测，旨在检测每个场景并预测每个类别。传统检测器对人类注释的依赖、有限的视觉信息和开放世界中的新类别严重限制了其通用性。我们提出了UniDetector，一种通用物体检测器，具有识别开放世界中巨大类别的能力。UniDetector的通用性关键点是：1）通过图像和文本空间的对齐，利用多个来源和异构标签空间的图像进行训练，从而保证通用表示的充分信息。2）它易于推广到开放世界，同时保持已知和未知类别之间的平衡，得益于视觉和语言模态的丰富信息。3）通过我们提出的解耦训练方式和概率校准，进一步提高了对新类别的泛化能力。这些贡献使UniDetector能够检测超过7k个类别，是迄
14,Object-Aware Distillation Pyramid for Open-Vocabulary Object Detection,CVPR,2023,"Luting Wang, Yi Liu, Penghui Du, Zihan Ding, Yue Liao, Qiaosong Qi, Biaolong Chen, Si Liu","Open-vocabulary object detection aims to provide object detectors trained on a fixed set of object categories with the generalizability to detect objects described by arbitrary text queries. Previous methods adopt knowledge distillation to extract knowledge from Pretrained Vision-and-Language Models (PVLMs) and transfer it to detectors. However, due to the non-adaptive proposal cropping and single-level feature mimicking processes, they suffer from information destruction during knowledge extraction and inefficient knowledge transfer. To remedy these limitations, we propose an Object-Aware Distillation Pyramid (OADP) framework, including an Object-Aware Knowledge Extraction (OAKE) module and a Distillation Pyramid (DP) mechanism. When extracting object knowledge from PVLMs, the former adaptively transforms object proposals and adopts object-aware mask attention to obtain precise and complete knowledge of objects. The latter introduces global and block distillation for more comprehensive knowledge transfer to compensate for the missing relation information in object distillation. Extensive experiments show that our method achieves significant improvement compared to current methods. Especially on the MS-COCO dataset, our OADP framework reaches 35.6 mAP^N_50, surpassing the current state-of-the-art method by 3.3 mAP^N_50. Code is anonymously provided in the supplementary materials.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Wang_Object-Aware_Distillation_Pyramid_for_Open-Vocabulary_Object_Detection_CVPR_2023_paper.pdf,,1,本文提出了一种开放词汇目标检测方法，旨在为固定对象类别的对象检测器提供检测任意文本查询描述的对象的通用性。以往的方法采用知识蒸馏从预训练的视觉语言模型中提取知识并将其转移到检测器中。然而，由于非自适应的提议裁剪和单层特征模仿过程，它们在知识提取和知识转移过程中遭受信息破坏和效率低下的问题。为了解决这些限制，我们提出了一种对象感知蒸馏金字塔（OADP）框架，包括对象感知知识提取（OAKE）模块和蒸馏金字塔（DP）机制。在从PVLMs中提取对象知识时，前者自适应地转换对象提议并采用对象感知掩码注意力来获取精确和完整的对象知识。后者引入全局和块
20,PROB: Probabilistic Objectness for Open World Object Detection,CVPR,2023,"Orr Zohar, Kuan-Chieh Wang, Serena Yeung","Open World Object Detection (OWOD) is a new and challenging computer vision task that bridges the gap between classic object detection (OD) benchmarks and object detection in the real world. In addition to detecting and classifying seen/labeled objects, OWOD algorithms are expected to detect novel/unknown objects - which can be classified and incrementally learned. In standard OD, object proposals not overlapping with a labeled object are automatically classified as background. Therefore, simply applying OD methods to OWOD fails as unknown objects would be predicted as background. The challenge of detecting unknown objects stems from the lack of supervision in distinguishing unknown objects and background object proposals. Previous OWOD methods have attempted to overcome this issue by generating supervision using pseudo-labeling - however, unknown object detection has remained low. Probabilistic/generative models may provide a solution for this challenge. Herein, we introduce a novel probabilistic framework for objectness estimation, where we alternate between probability distribution estimation and objectness likelihood maximization of known objects in the embedded feature space - ultimately allowing us to estimate the objectness probability of different proposals. The resulting Probabilistic Objectness transformer-based open-world detector, PROB, integrates our framework into traditional object detection models, adapting them for the open-world setting. Comprehensive experiments on OWOD benchmarks show that PROB outperforms all existing OWOD methods in both unknown object detection ( 2x unknown recall) and known object detection (  mAP). Our code is available at https://github.com/orrzohar/PROB.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Zohar_PROB_Probabilistic_Objectness_for_Open_World_Object_Detection_CVPR_2023_paper.pdf,https://github.com/orrzohar/PROB,1,Open World Object Detection (OWOD) 是一项新的、具有挑战性的计算机视觉任务，它弥合了经典目标检测 (OD) 基准和现实世界中的目标检测之间的差距。除了检测和分类已知的对象，OWOD 算法还需要检测新的/未知的对象 - 这些对象可以被分类和逐步学习。在标准的 OD 中，与标记对象不重叠的对象提议会自动分类为背景。因此，简单地将 OD 方法应用于 OWOD 会失败，因为未知的对象会被预测为背景。检测未知对象的挑战源于在区分未知对象和背景对象提议时缺乏监督。以前的 OWOD 方法尝试通过生成伪标签来克服这个问题，但未知对象的检测仍然很低。概率/生成模型可能为这个挑战提供解决方案。在这里，我们介绍了一种新颖的概率
24,Annealing-Based Label-Transfer Learning for Open World Object Detection,CVPR,2023,"Yuqing Ma, Hainan Li, Zhange Zhang, Jinyang Guo, Shanghang Zhang, Ruihao Gong, Xianglong Liu","Open world object detection (OWOD) has attracted extensive attention due to its practicability in the real world. Previous OWOD works manually designed unknown-discover strategies to select unknown proposals from the background, suffering from uncertainties without appropriate priors. In this paper, we claim the learning of object detection could be seen as an object-level feature-entanglement process, where unknown traits are propagated to the known proposals through convolutional operations and could be distilled to benefit unknown recognition without manual selection. Therefore, we propose a simple yet effective Annealing-based Label-Transfer framework, which sufficiently explores the known proposals to alleviate the uncertainties. Specifically, a Label-Transfer Learning paradigm is introduced to decouple the known and unknown features, while a Sawtooth Annealing Scheduling strategy is further employed to rebuild the decision boundaries of the known and unknown classes, thus promoting both known and unknown recognition. Moreover, previous OWOD works neglected the trade-off of known and unknown performance, and we thus introduce a metric called Equilibrium Index to comprehensively evaluate the effectiveness of the OWOD models. To the best of our knowledge, this is the first OWOD work without manual unknown selection. Extensive experiments conducted on the common-used benchmark validate that our model achieves superior detection performance (200% unknown mAP improvement with the even higher known detection performance) compared to other state-of-the-art methods. Our code is available at https://github.com/DIG-Beihang/ALLOW.git.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Ma_Annealing-Based_Label-Transfer_Learning_for_Open_World_Object_Detection_CVPR_2023_paper.pdf,https://github.com/DIG-Beihang/ALLOW.git,1,本文提出了一种基于学习的目标检测方法，称之为Annealing-based Label-Transfer framework。该方法通过卷积操作将未知特征传播到已知提案中，并通过Label-Transfer Learning范式来解耦已知和未知特征，进而通过Sawtooth Annealing Scheduling策略重建已知和未知类别的决策边界，从而促进已知和未知识别。此外，本文还引入了一个称为Equilibrium Index的度量来全面评估OWOD模型的有效性。实验结果表明，该模型相比其他最先进的方法具有更好的检测性能。
25,Aligning Bag of Regions for Open-Vocabulary Object Detection,CVPR,2023,"Size Wu, Wenwei Zhang, Sheng Jin, Wentao Liu, Chen Change Loy","Pre-trained vision-language models (VLMs) learn to align vision and language representations on large-scale datasets, where each image-text pair usually contains a bag of semantic concepts. However, existing open-vocabulary object detectors only align region embeddings individually with the corresponding features extracted from the VLMs. Such a design leaves the compositional structure of semantic concepts in a scene under-exploited, although the structure may be implicitly learned by the VLMs. In this work, we propose to align the embedding of bag of regions beyond individual regions. The proposed method groups contextually interrelated regions as a bag. The embeddings of regions in a bag are treated as embeddings of words in a sentence, and they are sent to the text encoder of a VLM to obtain the bag-of-regions embedding, which is learned to be aligned to the corresponding features extracted by a frozen VLM. Applied to the commonly used Faster R-CNN, our approach surpasses the previous best results by 4.6 box AP 50 and 2.8 mask AP on novel categories of open-vocabulary COCO and LVIS benchmarks, respectively. Code and models are available at https://github.com/wusize/ovdet.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Wu_Aligning_Bag_of_Regions_for_Open-Vocabulary_Object_Detection_CVPR_2023_paper.pdf,https://github.com/wusize/ovdet,1,本文提出了一种新的方法，将场景中语义概念的组合结构与视觉和语言表示对齐。现有的开放词汇对象检测器只能将区域嵌入与VLMs提取的相应特征单独对齐，而不能充分利用场景中语义概念的组合结构。本文提出的方法将上下文相关的区域分组为一个包，将包中的区域嵌入视为句子中的单词嵌入，并将其发送到VLM的文本编码器中，以获得区域包嵌入，该嵌入被学习与冻结的VLM提取的相应特征对齐。在常用的Faster R-CNN上应用本方法，我们的方法在开放词汇COCO和LVIS基准测试的新类别上超过了以前的最佳结果，分别为4.6个盒子AP 50和2.8个掩码AP。代码和模型可在https://github.com/wusize/ovdet上
28,ScaleDet: A Scalable Multi-Dataset Object Detector,CVPR,2023,"Yanbei Chen, Manchen Wang, Abhay Mittal, Zhenlin Xu, Paolo Favaro, Joseph Tighe, Davide Modolo","Multi-dataset training provides a viable solution for exploiting heterogeneous large-scale datasets without extra annotation cost. In this work, we propose a scalable multi-dataset detector (ScaleDet) that can scale up its generalization across datasets when increasing the number of training datasets. Unlike existing multi-dataset learners that mostly rely on manual relabelling efforts or sophisticated optimizations to unify labels across datasets, we introduce a simple yet scalable formulation to derive a unified semantic label space for multi-dataset training. ScaleDet is trained by visual-textual alignment to learn the label assignment with label semantic similarities across datasets. Once trained, ScaleDet can generalize well on any given upstream and downstream datasets with seen and unseen classes. We conduct extensive experiments using LVIS, COCO, Objects365, OpenImages as upstream datasets, and 13 datasets from Object Detection in the Wild (ODinW) as downstream datasets. Our results show that ScaleDet achieves compelling strong model performance with an mAP of 50.7 on LVIS, 58.8 on COCO, 46.8 on Objects365, 76.2 on OpenImages, and 71.8 on ODinW, surpassing state-of-the-art detectors with the same backbone.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Chen_ScaleDet_A_Scalable_Multi-Dataset_Object_Detector_CVPR_2023_paper.pdf,,1,本文提出了一种可扩展的多数据集检测器（ScaleDet），通过视觉-文本对齐训练来学习标签分配，从而实现跨数据集的泛化。与现有的多数据集学习器不同，ScaleDet引入了一种简单但可扩展的公式，用于推导多数据集训练的统一语义标签空间。一旦训练完成，ScaleDet可以在任何给定的上游和下游数据集上进行良好的泛化，包括已知和未知类别。实验结果表明，ScaleDet在多个数据集上均取得了优异的性能，超过了具有相同骨干的最先进检测器。
29,Dense Distinct Query for End-to-End Object Detection,CVPR,2023,"Shilong Zhang, Xinjiang Wang, Jiaqi Wang, Jiangmiao Pang, Chengqi Lyu, Wenwei Zhang, Ping Luo, Kai Chen","One-to-one label assignment in object detection has successfully obviated the need of non-maximum suppression (NMS) as a postprocessing and makes the pipeline end-to-end. However, it triggers a new dilemma as the widely used sparse queries cannot guarantee a high recall, while dense queries inevitably bring more similar queries and encounters optimization difficulty. As both sparse and dense queries are problematic, then what are the expected queries in end-to-end object detection? This paper shows that the solution should be Dense Distinct Queries (DDQ). Concretely, we first lay dense queries like traditional detectors and then select distinct ones for one-to-one assignments. DDQ blends the advantages of traditional and recent end-to-end detectors and significantly improves the performance of various detectors including FCN, R-CNN, and DETRs. Most impressively, DDQ-DETR achieves 52.1 AP on MS-COCO dataset within 12 epochs using a ResNet-50 backbone, outperforming all existing detectors in the same setting. DDQ also shares the benefit of end-to-end detectors in crowded scenes and achieves 93.8 AP on CrowdHuman. We hope DDQ can inspire researchers to consider the complementarity between traditional methods and end-to-end detectors. The source code can be found at https://github.com/jshilong/DDQ.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhang_Dense_Distinct_Query_for_End-to-End_Object_Detection_CVPR_2023_paper.pdf,https://github.com/jshilong/DDQ,1,本文介绍了在目标检测中一对一标签分配的成功应用，成功地避免了后处理中的非极大值抑制（NMS），使得流程成为端到端。然而，这也引发了一个新的问题，即广泛使用的稀疏查询无法保证高召回率，而密集查询则不可避免地带来更多相似的查询和遇到优化困难。既然稀疏和密集查询都有问题，那么端到端目标检测中应该使用什么样的查询呢？本文表明，解决方案应该是密集不同查询（DDQ）。具体来说，我们首先像传统检测器一样放置密集查询，然后为一对一分配选择不同的查询。DDQ融合了传统和最近的端到端检测器的优点，并显著提高了各种检测器的性能，包括FCN、R-CNN和DETRs。最令人印象深刻的是，DDQ-DE
35,DynamicDet: A Unified Dynamic Architecture for Object Detection,CVPR,2023,"Zhihao Lin, Yongtao Wang, Jinhe Zhang, Xiaojie Chu","Dynamic neural network is an emerging research topic in deep learning. With adaptive inference, dynamic models can achieve remarkable accuracy and computational efficiency. However, it is challenging to design a powerful dynamic detector, because of no suitable dynamic architecture and exiting criterion for object detection. To tackle these difficulties, we propose a dynamic framework for object detection, named DynamicDet. Firstly, we carefully design a dynamic architecture based on the nature of the object detection task. Then, we propose an adaptive router to analyze the multi-scale information and to decide the inference route automatically. We also present a novel optimization strategy with an exiting criterion based on the detection losses for our dynamic detectors. Last, we present a variable-speed inference strategy, which helps to realize a wide range of accuracy-speed trade-offs with only one dynamic detector. Extensive experiments conducted on the COCO benchmark demonstrate that the proposed DynamicDet achieves new state-of-the-art accuracy-speed trade-offs. For instance, with comparable accuracy, the inference speed of our dynamic detector Dy-YOLOv7-W6 surpasses YOLOv7-E6 by 12%, YOLOv7-D6 by 17%, and YOLOv7-E6E by 39%. The code is available at https://github.com/VDIGPKU/DynamicDet.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Lin_DynamicDet_A_Unified_Dynamic_Architecture_for_Object_Detection_CVPR_2023_paper.pdf,https://github.com/VDIGPKU/DynamicDet,1,本文介绍了一种名为DynamicDet的动态目标检测框架，该框架基于自适应推理，能够实现卓越的准确性和计算效率。作者首先根据目标检测任务的特点，精心设计了动态架构，然后提出了一种自适应路由器来分析多尺度信息并自动决定推理路线。此外，作者还提出了一种基于检测损失的新型优化策略和退出标准，用于动态检测器。最后，作者提出了一种可变速推理策略，可以在只有一个动态检测器的情况下实现广泛的准确度和速度权衡。实验结果表明，DynamicDet在COCO基准测试中实现了新的最先进的准确度和速度权衡。例如，与相似的准确度相比，我们的动态检测器Dy-YOLOv7-W6的推理速度比YOLOv7-E6快12％，比
40,CORA: Adapting CLIP for Open-Vocabulary Detection With Region Prompting and Anchor Pre-Matching,CVPR,2023,"Xiaoshi Wu, Feng Zhu, Rui Zhao, Hongsheng Li","Open-vocabulary detection (OVD) is an object detection task aiming at detecting objects from novel categories beyond the base categories on which the detector is trained. Recent OVD methods rely on large-scale visual-language pre-trained models, such as CLIP, for recognizing novel objects. We identify the two core obstacles that need to be tackled when incorporating these models into detector training: (1) the distribution mismatch that happens when applying a VL-model trained on whole images to region recognition tasks; (2) the difficulty of localizing objects of unseen classes. To overcome these obstacles, we propose CORA, a DETR-style framework that adapts CLIP for Open-vocabulary detection by Region prompting and Anchor pre-matching. Region prompting mitigates the whole-to-region distribution gap by prompting the region features of the CLIP-based region classifier. Anchor pre-matching helps learning generalizable object localization by a class-aware matching mechanism. We evaluate CORA on the COCO OVD benchmark, where we achieve 41.7 AP50 on novel classes, which outperforms the previous SOTA by 2.4 AP50 even without resorting to extra training data. When extra training data is available, we train CORA+ on both ground-truth base-category annotations and additional pseudo bounding box labels computed by CORA. CORA+ achieves 43.1 AP50 on the COCO OVD benchmark and 28.1 box APr on the LVIS OVD benchmark. The code is available at https://github.com/tgxs002/CORA.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Wu_CORA_Adapting_CLIP_for_Open-Vocabulary_Detection_With_Region_Prompting_and_CVPR_2023_paper.pdf,https://github.com/tgxs002/CORA,1,Open-vocabulary detection (OVD) 是一项目标检测任务，旨在检测训练检测器的基本类别之外的新类别的对象。最近的 OVD 方法依赖于大规模的视觉语言预训练模型，例如 CLIP，用于识别新对象。当将这些模型纳入检测器训练时，我们确定需要解决的两个核心障碍：（1）将在整个图像上训练的 VL 模型应用于区域识别任务时发生的分布不匹配；（2）定位未见过类别的对象的困难。为了克服这些障碍，我们提出了 CORA，一种 DETR 风格的框架，通过区域提示和锚点预匹配来适应 CLIP 用于开放词汇检测。区域提示通过提示基于 CLIP 的区域分类器的区域特征来减轻整体到区域分布差距。锚点预匹配通过一种类别感知的
